0.0,628.122,628.122,628.122,0.996429420468,0.996315144397,0.996339827151,0.996409629847,0.996445363042
5.0,640.439,632.589,633.586,0.996315144397,0.99620007042,0.996223897226,0.996295502712,0.996331133921
10.0,652.744,637.063,639.057,0.99620007042,0.996084295944,0.996107109207,0.996180683925,0.996216131754
15.0,664.988,641.545,644.539,0.996084295944,0.995967654083,0.995989560309,0.996065134984,0.996100389186
20.0,677.211,646.033,650.026,0.995967654083,0.995850141733,0.99587102978,0.995948725396,0.995983803499
25.0,689.442,650.55,655.55,0.995850141733,0.995731302692,0.99575159457,0.995831447707,0.995866356994
30.0,701.65,655.09,661.102,0.995731302692,0.995611783523,0.995630769971,0.995712821647,0.995747577237
35.0,713.831,659.608,666.626,0.995611783523,0.995491429827,0.995509140162,0.995593493387,0.995628104406
40.0,726.012,664.148,672.176,0.995491429827,0.995371818242,0.995386653537,0.995473386896,0.995507821584
45.0,738.174,668.714,677.759,0.995371818242,0.995258241043,0.995264843112,0.995355436289,0.995388478339
50.0,750.291,673.278,683.338,0.995258241043,0.995151416024,0.995149187506,0.995244271637,0.995274953534
55.0,762.394,677.843,688.919,0.995151416024,0.995048764406,0.995039806698,0.995139287697,0.995167962685
60.0,774.51,682.415,694.507,0.995048764406,0.994948727912,0.994934467834,0.995038384795,0.995065338767
65.0,786.584,687.013,700.128,0.994948727912,0.994850794024,0.994831886436,0.994939973413,0.994965317522
70.0,798.652,691.599,705.733,0.994850794024,0.994753379255,0.994731628645,0.994843418524,0.994867420346
75.0,810.7,696.17,711.318,0.994753379255,0.994655696855,0.99463154561,0.994747063467,0.994770029691
80.0,822.749,700.768,716.937,0.994655696855,0.994556237819,0.994531160216,0.994649694176,0.994672144403
85.0,834.778,705.381,722.573,0.994556237819,0.994454854224,0.994428962753,0.99455061049,0.99457269051
90.0,846.767,709.988,728.202,0.994454854224,0.994351598885,0.994324721165,0.994449608418,0.994471323238
95.0,858.748,714.582,733.814,0.994351598885,0.994245562589,0.994218444648,0.994346638409,0.994368082498
100.0,870.713,719.178,739.427,0.994245562589,0.994137025533,0.994109462997,0.994240789609,0.994262054993
